asin,price_pos,leak_pos,absorb_pos,comfort_pos,material_pos,package_pos,size_pos,price_neg,leak_neg,absorb_neg,comfort_neg,material_neg,package_neg,size_neg
B07XLKC4WZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07XM84QGQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07XTKX2M2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
B07XYGBR28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07Y5272G2,1,0,6,5,1,4,0,0,0,0,0,0,0,0
B07Y53L5NM,0,0,0,4,0,0,0,0,0,0,0,0,0,0
B07Y5JZ1RG,2,88,3,66,6,2,42,0,8,0,0,0,0,1
B07YQDXWG1,1,0,0,8,0,0,0,0,0,0,0,0,0,0
B07YQFH15Y,7,19,52,16,0,3,0,0,0,0,6,0,0,0
B07YQFN9YT,0,0,5,2,0,0,0,0,0,0,0,0,0,0
B07YQFRD13,1,0,6,5,0,0,0,0,0,0,0,0,0,0
B07YQFT84H,0,0,0,7,0,1,2,0,0,0,0,0,0,0
B07YQFV3GB,1,4,6,0,0,0,0,0,0,0,0,0,0,0
B07YQFYH3V,1,1,6,5,0,1,0,0,0,0,0,0,0,0
B07YQFZ3JD,0,0,9,6,0,0,0,0,0,0,0,0,0,0
B07YQG6J8C,2,2,0,7,1,0,0,0,0,0,0,0,0,0
B07YTNQH9G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07YV42X6F,0,9,0,10,0,0,0,0,2,0,0,0,0,0
B07ZH5X3Y8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B081KWP56B,2,54,0,101,5,1,41,0,7,0,10,0,1,0
B081QR9FFC,0,2,6,2,0,0,0,0,0,0,0,0,0,0
B081QRMD13,1,0,3,2,1,0,1,0,0,0,0,0,0,0
B0828BF2N4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B082DC61S2,0,2,10,0,0,1,0,0,2,0,2,0,0,0
B082J6FMKW,7,49,36,63,4,3,26,0,17,0,11,0,0,0
B082VVC4ZB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
B082VVCPYP,3,0,0,4,1,2,0,0,0,0,0,0,0,0
B082VVDS19,3,4,0,3,0,1,2,0,0,2,0,0,0,0
